18,,Huddersfield Town,League One,"9,53 Mill. €",26,"117,10 Mill. €",31,"107,58 Mill. €","1,129,4 %",2012-01-01
19,,Fulham FC,Premier League,"111,50 Mill. €",29,"116,50 Mill. €",20,"5,00 Mill. €","4,5 %",2012-01-01
20,,Cardiff City,Championship,"26,83 Mill. €",26,"56,40 Mill. €",32,"29,58 Mill. €","110,3 %",2012-01-01
 , ,Total value of all clubs, ,"2,75 Bill. €",541,"7,80 Bill. €  ",0,"5,05 Bill. €","184,1 %",2012-01-01
1,,Manchester City,Premier League,"629,50 Mill. €",21,"1,07 Bill. €",32,"439,00 Mill. €","69,7 %",2018-01-01
2,,Chelsea FC,Premier League,"631,90 Mill. €",26,"967,75 Mill. €",37,"335,85 Mill. €","53,1 %",2018-01-01
3,,Liverpool FC,Premier League,"514,50 Mill. €",29,"912,50 Mill. €",32,"398,00 Mill. €","77,4 %",2018-01-01
4,,Manchester United,Premier League,"592,75 Mill. €",26,"851,00 Mill. €",31,"258,25 Mill. €","43,6 %",2018-01-01
5,,Tottenham Hotspur,Premier League,"551,00 Mill. €",24,"834,50 Mill. €",28,"283,50 Mill. €","51,5 %",2018-01-01
6,,Arsenal FC,Premier League,"509,50 Mill. €",27,"582,70 Mill. €",32,"73,20 Mill. €","14,4 %",2018-01-01
7,,Everton FC,Premier League,"335,25 Mill. €",31,"338,50 Mill. €",30,"3,25 Mill. €","1,0 %",2018-01-01
8,,West Ham United,Premier League,"220,50 Mill. €",24,"307,50 Mill. €",30,"87,00 Mill. €","39,5 %",2018-01-01
9,,Leicester City,Premier League,"243,50 Mill. €",26,"303,00 Mill. €",30,"59,50 Mill. €","24,4 %",2018-01-01
10,,Southampton FC,Premier League,"255,60 Mill. €",27,"235,35 Mill. €",28,"-20,25 Mill. €","-7,9 %",2018-01-01
11,,Watford FC,Premier League,"150,00 Mill. €",30,"189,50 Mill. €",36,"39,50 Mill. €","26,3 %",2018-01-01
12,,Crystal Palace,Premier League,"190,60 Mill. €",27,"181,33 Mill. €",25,"-9,28 Mill. €","-4,9 %",2018-01-01
13,,Newcastle United,Premier League,"137,00 Mill. €",27,"174,48 Mill. €",29,"37,48 Mill. €","27,4 %",2018-01-01
14,,Burnley FC,Premier League,"91,50 Mill. €",25,"156,75 Mill. €",24,"65,25 Mill. €","71,3 %",2018-01-01
15,,Brighton & Hove Albion,Premier League,"99,40 Mill. €",29,"154,10 Mill. €",30,"54,70 Mill. €","55,0 %",2018-01-01
16,,AFC Bournemouth,Premier League,"116,75 Mill. €",27,"134,75 Mill. €",26,"18,00 Mill. €","15,4 %",2018-01-01
17,,Wolverhampton Wanderers,Championship,"73,63 Mill. €",29,"117,30 Mill. €",32,"43,68 Mill. €","59,3 %",2018-01-01
18,,Huddersfield Town,Premier League,"58,00 Mill. €",26,"117,10 Mill. €",31,"59,10 Mill. €","101,9 %",2018-01-01
19,,Fulham FC,Championship,"73,25 Mill. €",25,"116,50 Mill. €",20,"43,25 Mill. €","59,0 %",2018-01-01
20,,Cardiff City,Championship,"40,50 Mill. €",29,"56,40 Mill. €",32,"15,90 Mill. €","39,3 %",2018-01-01
 , ,Total value of all clubs, ,"5,51 Bill. €",535,"7,80 Bill. €  ",0,"2,28 Bill. €","41,4 %",2018-01-01
1,,Manchester City,Premier League,"351,30 Mill. €",26,"1,07 Bill. €",32,"717,20 Mill. €","204,2 %",2011-02-01
2,,Chelsea FC,Premier League,"356,00 Mill. €",21,"967,75 Mill. €",37,"611,75 Mill. €","171,8 %",2011-02-01
3,,Liverpool FC,Premier League,"288,50 Mill. €",23,"912,50 Mill. €",32,"624,00 Mill. €","216,3 %",2011-02-01
4,,Manchester United,Premier League,"371,20 Mill. €",29,"851,00 Mill. €",31,"479,80 Mill. €","129,3 %",2011-02-01
5,,Tottenham Hotspur,Premier League,"279,75 Mill. €",28,"834,50 Mill. €",28,"554,75 Mill. €","198,3 %",2011-02-01
6,,Arsenal FC,Premier League,"292,00 Mill. €",23,"582,70 Mill. €",32,"290,70 Mill. €","99,6 %",2011-02-01
7,,Everton FC,Premier League,"154,90 Mill. €",20,"338,50 Mill. €",30,"183,60 Mill. €","118,5 %",2011-02-01
8,,West Ham United,Premier League,"130,40 Mill. €",31,"307,50 Mill. €",30,"177,10 Mill. €","135,8 %",2011-02-01
9,,Leicester City,Championship,"39,10 Mill. €",33,"303,00 Mill. €",30,"263,90 Mill. €","674,9 %",2011-02-01
10,,Southampton FC,League One,"18,60 Mill. €",31,"235,35 Mill. €",28,"216,75 Mill. €","1,165,3 %",2011-02-01
11,,Watford FC,Championship,"9,55 Mill. €",25,"189,50 Mill. €",36,"179,95 Mill. €","1,884,3 %",2011-02-01
12,,Crystal Palace,Championship,"18,55 Mill. €",29,"181,33 Mill. €",25,"162,78 Mill. €","877,5 %",2011-02-01
13,,Newcastle United,Premier League,"90,25 Mill. €",26,"174,48 Mill. €",29,"84,23 Mill. €","93,3 %",2011-02-01
14,,Burnley FC,Championship,"34,90 Mill. €",28,"156,75 Mill. €",24,"121,85 Mill. €","349,1 %",2011-02-01
15,,Brighton & Hove Albion,League One,"7,13 Mill. €",30,"154,10 Mill. €",30,"146,98 Mill. €","2,062,8 %",2011-02-01
16,,AFC Bournemouth,League One,"4,70 Mill. €",27,"134,75 Mill. €",26,"130,05 Mill. €","2,767,0 %",2011-02-01
17,,Wolverhampton Wanderers,Premier League,"73,90 Mill. €",29,"117,30 Mill. €",32,"43,40 Mill. €","58,7 %",2011-02-01
18,,Huddersfield Town,League One,"11,58 Mill. €",26,"117,10 Mill. €",31,"105,53 Mill. €","911,7 %",2011-02-01
19,,Fulham FC,Premier League,"102,00 Mill. €",27,"116,50 Mill. €",20,"14,50 Mill. €","14,2 %",2011-02-01
20,,Cardiff City,Championship,"39,25 Mill. €",27,"56,40 Mill. €",32,"17,15 Mill. €","43,7 %",2011-02-01
 , ,Total value of all clubs, ,"2,67 Bill. €",539,"7,80 Bill. €  ",0,"5,13 Bill. €","191,7 %",2011-02-01
1,,Manchester City,Premier League,"433,25 Mill. €",23,"1,07 Bill. €",32,"635,25 Mill. €","146,6 %",2015-02-01
2,,Chelsea FC,Premier League,"443,75 Mill. €",22,"967,75 Mill. €",37,"524,00 Mill. €","118,1 %",2015-02-01
3,,Liverpool FC,Premier League,"326,00 Mill. €",25,"912,50 Mill. €",32,"586,50 Mill. €","179,9 %",2015-02-01
4,,Manchester United,Premier League,"471,50 Mill. €",28,"851,00 Mill. €",31,"379,50 Mill. €","80,5 %",2015-02-01
5,,Tottenham Hotspur,Premier League,"261,00 Mill. €",28,"834,50 Mill. €",28,"573,50 Mill. €","219,7 %",2015-02-01
6,,Arsenal FC,Premier League,"389,80 Mill. €",27,"582,70 Mill. €",32,"192,90 Mill. €","49,5 %",2015-02-01
7,,Everton FC,Premier League,"161,30 Mill. €",24,"338,50 Mill. €",30,"177,20 Mill. €","109,9 %",2015-02-01
8,,West Ham United,Premier League,"105,90 Mill. €",24,"307,50 Mill. €",30,"201,60 Mill. €","190,4 %",2015-02-01
