,Position,ø-Age,Market value,ø-Market value,Unnamed: 4,TeamName,Year,marketValue
0,Goalkeeper,3133,"4,25 Mill. €","1,42 Mill. €",,Fulham,2008,4250000
1,Defender,2367,"17,70 Mill. €","1,48 Mill. €",,Fulham,2008,17700000
2,Forward,2580,"35,90 Mill. €","3,59 Mill. €",,Fulham,2008,35900000
3,Total:,2524,"83,85 Mill. €","2,21 Mill. €",,Fulham,2008,83850000
0,Goalkeeper,3233,"4,55 Mill. €","1,52 Mill. €",,Fulham,2009,4550000
1,Defender,2483,"26,75 Mill. €","2,23 Mill. €",,Fulham,2009,26750000
2,Forward,2500,"30,65 Mill. €","2,79 Mill. €",,Fulham,2009,30650000
3,Total:,2531,"92,80 Mill. €","2,21 Mill. €",,Fulham,2009,92800000
0,Goalkeeper,3000,"5,10 Mill. €","1,28 Mill. €",,Fulham,2010,5100000
1,Defender,2660,"33,60 Mill. €","3,36 Mill. €",,Fulham,2010,33600000
2,Forward,2622,"28,95 Mill. €","3,22 Mill. €",,Fulham,2010,28950000
3,Total:,2750,"111,95 Mill. €","3,29 Mill. €",,Fulham,2010,111950000
0,Goalkeeper,2750,"5,35 Mill. €","1,34 Mill. €",,Fulham,2011,5350000
1,Defender,2738,"32,90 Mill. €","4,11 Mill. €",,Fulham,2011,32900000
2,Forward,2400,"28,50 Mill. €","3,56 Mill. €",,Fulham,2011,28500000
3,Total:,2611,"118,55 Mill. €","3,29 Mill. €",,Fulham,2011,118550000
0,Goalkeeper,2850,"5,75 Mill. €","1,44 Mill. €",,Fulham,2012,5750000
1,Defender,2682,"31,40 Mill. €","2,85 Mill. €",,Fulham,2012,31400000
2,Forward,2400,"29,25 Mill. €","4,18 Mill. €",,Fulham,2012,29250000
3,Total:,2643,"115,60 Mill. €","3,12 Mill. €",,Fulham,2012,115600000
0,Goalkeeper,2420,"9,50 Mill. €","1,90 Mill. €",,Fulham,2013,9500000
1,Defender,2725,"33,60 Mill. €","2,80 Mill. €",,Fulham,2013,33600000
2,Forward,2269,"44,75 Mill. €","3,44 Mill. €",,Fulham,2013,44750000
3,Total:,2490,"148,35 Mill. €","3,09 Mill. €",,Fulham,2013,148350000
0,Goalkeeper,2450,400 Th. €,100 Th. €,,Fulham,2014,400000
1,Defender,2267,"16,65 Mill. €",925 Th. €,,Fulham,2014,16650000
2,Forward,2233,"6,65 Mill. €",739 Th. €,,Fulham,2014,6650000
