,Position,ø-Age,Market value,ø-Market value,Unnamed: 4,TeamName,Year,marketValue
2,Forward,2289,"11,28 Mill. €","1,25 Mill. €",,Middlesbrough,2012,11280000
3,Total:,2338,"37,40 Mill. €",959 Th. €,,Middlesbrough,2012,37400000
0,Goalkeeper,2683,"4,80 Mill. €",800 Th. €,,Middlesbrough,2013,4800000
1,Defender,2400,"8,50 Mill. €",654 Th. €,,Middlesbrough,2013,8500000
2,Forward,2430,"14,00 Mill. €","1,40 Mill. €",,Middlesbrough,2013,14000000
3,Total:,2418,"37,30 Mill. €",933 Th. €,,Middlesbrough,2013,37300000
0,Goalkeeper,2525,925 Th. €,231 Th. €,,Middlesbrough,2014,925000
1,Defender,2382,"23,00 Mill. €","1,35 Mill. €",,Middlesbrough,2014,23000000
2,Forward,2320,"14,65 Mill. €","1,47 Mill. €",,Middlesbrough,2014,14650000
3,Total:,2368,"44,78 Mill. €","1,12 Mill. €",,Middlesbrough,2014,44780000
0,Goalkeeper,2850,"2,73 Mill. €",681 Th. €,,Middlesbrough,2015,2730000
1,Defender,2527,"18,50 Mill. €","1,23 Mill. €",,Middlesbrough,2015,18500000
2,Forward,2600,"26,25 Mill. €","2,63 Mill. €",,Middlesbrough,2015,26250000
3,Total:,2533,"72,33 Mill. €","1,85 Mill. €",,Middlesbrough,2015,72330000
0,Goalkeeper,3040,"7,25 Mill. €","1,45 Mill. €",,Middlesbrough,2016,7250000
1,Defender,2482,"30,75 Mill. €","2,80 Mill. €",,Middlesbrough,2016,30750000
2,Forward,2590,"57,00 Mill. €","5,70 Mill. €",,Middlesbrough,2016,57000000
3,Total:,2629,"121,75 Mill. €","3,48 Mill. €",,Middlesbrough,2016,121750000
0,Goalkeeper,2780,"3,30 Mill. €",660 Th. €,,Middlesbrough,2017,3300000
1,Defender,2522,"16,25 Mill. €","1,81 Mill. €",,Middlesbrough,2017,16250000
2,Forward,2263,"34,45 Mill. €","4,31 Mill. €",,Middlesbrough,2017,34450000
3,Total:,2532,"91,50 Mill. €","2,69 Mill. €",,Middlesbrough,2017,91500000
0,Goalkeeper,3167,"4,85 Mill. €","1,62 Mill. €",,Middlesbrough,2018,4850000
1,Defender,2614,"25,50 Mill. €","3,64 Mill. €",,Middlesbrough,2018,25500000
2,Forward,2483,"41,50 Mill. €","6,92 Mill. €",,Middlesbrough,2018,41500000
3,Total:,2736,"88,15 Mill. €","4,01 Mill. €",,Middlesbrough,2018,88150000
0,Goalkeeper,2975,"5,30 Mill. €","1,33 Mill. €",,Portsmouth,2005,5300000
1,Defender,2663,"19,60 Mill. €","2,45 Mill. €",,Portsmouth,2005,19600000
2,Forward,2517,"30,70 Mill. €","2,56 Mill. €",,Portsmouth,2005,30700000
3,Total:,2614,"90,75 Mill. €","2,59 Mill. €",,Portsmouth,2005,90750000
0,Goalkeeper,3167,"5,50 Mill. €","1,83 Mill. €",,Portsmouth,2006,5500000
1,Defender,2789,"34,15 Mill. €","3,79 Mill. €",,Portsmouth,2006,34150000
2,Forward,2688,"25,90 Mill. €","3,24 Mill. €",,Portsmouth,2006,25900000
3,Total:,2657,"91,10 Mill. €","3,04 Mill. €",,Portsmouth,2006,91100000
0,Goalkeeper,2733,"4,80 Mill. €","1,60 Mill. €",,Portsmouth,2007,4800000
1,Defender,2633,"39,10 Mill. €","3,26 Mill. €",,Portsmouth,2007,39100000
2,Forward,2400,"38,10 Mill. €","4,76 Mill. €",,Portsmouth,2007,38100000
3,Total:,2524,"119,15 Mill. €","3,50 Mill. €",,Portsmouth,2007,119150000
0,Goalkeeper,2833,"5,80 Mill. €","1,93 Mill. €",,Portsmouth,2008,5800000
1,Defender,2677,"49,00 Mill. €","3,77 Mill. €",,Portsmouth,2008,49000000
2,Forward,2600,"56,05 Mill. €","5,61 Mill. €",,Portsmouth,2008,56050000
3,Total:,2664,"152,05 Mill. €","4,22 Mill. €",,Portsmouth,2008,152050000
0,Goalkeeper,2840,"4,50 Mill. €",900 Th. €,,Portsmouth,2009,4500000
1,Defender,2472,"36,45 Mill. €","2,03 Mill. €",,Portsmouth,2009,36450000
2,Forward,2540,"23,40 Mill. €","2,34 Mill. €",,Portsmouth,2009,23400000
3,Total:,2542,"99,85 Mill. €","2,22 Mill. €",,Portsmouth,2009,99850000
0,Goalkeeper,2600,800 Th. €,267 Th. €,,Portsmouth,2010,800000
1,Defender,2630,"15,10 Mill. €","1,51 Mill. €",,Portsmouth,2010,15100000
2,Forward,2675,"15,00 Mill. €","1,88 Mill. €",,Portsmouth,2010,15000000
3,Total:,2555,"41,00 Mill. €","1,32 Mill. €",,Portsmouth,2010,41000000
0,Goalkeeper,2333,600 Th. €,200 Th. €,,Portsmouth,2011,600000
1,Defender,2421,"10,85 Mill. €",775 Th. €,,Portsmouth,2011,10850000
2,Forward,2567,"13,25 Mill. €","1,47 Mill. €",,Portsmouth,2011,13250000
3,Total:,2403,"31,90 Mill. €",862 Th. €,,Portsmouth,2011,31900000
0,Goalkeeper,2525,450 Th. €,113 Th. €,,Portsmouth,2012,450000
1,Defender,2439,"5,40 Mill. €",300 Th. €,,Portsmouth,2012,5400000
2,Forward,2400,"3,43 Mill. €",228 Th. €,,Portsmouth,2012,3430000
3,Total:,2407,"14,58 Mill. €",270 Th. €,,Portsmouth,2012,14580000
0,Goalkeeper,2767,350 Th. €,117 Th. €,,Portsmouth,2013,350000
1,Defender,2285,"3,78 Mill. €",290 Th. €,,Portsmouth,2013,3780000
2,Forward,2458,"2,45 Mill. €",204 Th. €,,Portsmouth,2013,2450000
3,Total:,2434,"9,68 Mill. €",236 Th. €,,Portsmouth,2013,9680000
0,Goalkeeper,2580,850 Th. €,170 Th. €,,Portsmouth,2014,850000
1,Defender,2423,"1,73 Mill. €",133 Th. €,,Portsmouth,2014,1730000
2,Forward,2440,"2,10 Mill. €",140 Th. €,,Portsmouth,2014,2100000
3,Total:,2428,"6,23 Mill. €",145 Th. €,,Portsmouth,2014,6230000
0,Goalkeeper,2383,"1,15 Mill. €",192 Th. €,,Portsmouth,2015,1150000
1,Defender,2082,"1,50 Mill. €",136 Th. €,,Portsmouth,2015,1500000
2,Forward,2364,"1,80 Mill. €",164 Th. €,,Portsmouth,2015,1800000
3,Total:,2283,"6,10 Mill. €",153 Th. €,,Portsmouth,2015,6100000
0,Goalkeeper,2375,300 Th. €,75 Th. €,,Portsmouth,2016,300000
1,Defender,2173,875 Th. €,80 Th. €,,Portsmouth,2016,875000
2,Forward,2518,"2,25 Mill. €",205 Th. €,,Portsmouth,2016,2250000
3,Total:,2422,"5,10 Mill. €",142 Th. €,,Portsmouth,2016,5100000
0,Goalkeeper,2300,875 Th. €,292 Th. €,,Portsmouth,2017,875000
1,Defender,1973,"1,80 Mill. €",120 Th. €,,Portsmouth,2017,1800000
2,Forward,2209,"2,30 Mill. €",209 Th. €,,Portsmouth,2017,2300000
3,Total:,2103,"6,33 Mill. €",162 Th. €,,Portsmouth,2017,6330000
0,Goalkeeper,2233,200 Th. €,67 Th. €,,Portsmouth,2018,200000
1,Defender,2311,"1,65 Mill. €",183 Th. €,,Portsmouth,2018,1650000
2,Forward,2467,"1,38 Mill. €",229 Th. €,,Portsmouth,2018,1380000
3,Total:,2396,"4,05 Mill. €",176 Th. €,,Portsmouth,2018,4050000
0,Goalkeeper,2300,"1,10 Mill. €",367 Th. €,,Sunderland,2005,1100000
1,Defender,2464,"17,90 Mill. €","1,63 Mill. €",,Sunderland,2005,17900000
2,Forward,2229,"5,80 Mill. €",829 Th. €,,Sunderland,2005,5800000
3,Total:,2357,"36,35 Mill. €","1,21 Mill. €",,Sunderland,2005,36350000
0,Goalkeeper,2300,800 Th. €,200 Th. €,,Sunderland,2006,800000
1,Defender,2486,"14,95 Mill. €","1,07 Mill. €",,Sunderland,2006,14950000
2,Forward,2408,"11,55 Mill. €",888 Th. €,,Sunderland,2006,11550000
3,Total:,2424,"36,30 Mill. €",885 Th. €,,Sunderland,2006,36300000
0,Goalkeeper,2500,"2,95 Mill. €",738 Th. €,,Sunderland,2007,2950000
1,Defender,2388,"21,43 Mill. €","1,26 Mill. €",,Sunderland,2007,21430000
2,Forward,2500,"16,60 Mill. €","1,28 Mill. €",,Sunderland,2007,16600000
3,Total:,2402,"52,18 Mill. €","1,16 Mill. €",,Sunderland,2007,52180000
0,Goalkeeper,2950,"9,23 Mill. €","2,31 Mill. €",,Sunderland,2008,9230000
1,Defender,2438,"46,00 Mill. €","2,88 Mill. €",,Sunderland,2008,46000000
2,Forward,2533,"43,45 Mill. €","3,62 Mill. €",,Sunderland,2008,43450000
3,Total:,2452,"121,13 Mill. €","2,75 Mill. €",,Sunderland,2008,121130000
0,Goalkeeper,2433,"8,20 Mill. €","2,73 Mill. €",,Sunderland,2009,8200000
1,Defender,2556,"63,55 Mill. €","3,97 Mill. €",,Sunderland,2009,63550000
2,Forward,2533,"38,80 Mill. €","4,31 Mill. €",,Sunderland,2009,38800000
3,Total:,2453,"131,70 Mill. €","3,47 Mill. €",,Sunderland,2009,131700000
0,Goalkeeper,2367,"8,25 Mill. €","2,75 Mill. €",,Sunderland,2010,8250000
1,Defender,2488,"49,28 Mill. €","3,08 Mill. €",,Sunderland,2010,49280000
2,Forward,2233,"28,65 Mill. €","3,18 Mill. €",,Sunderland,2010,28650000
3,Total:,2369,"137,33 Mill. €","3,52 Mill. €",,Sunderland,2010,137330000
0,Goalkeeper,2500,"11,75 Mill. €","2,94 Mill. €",,Sunderland,2011,11750000
1,Defender,2667,"55,50 Mill. €","3,70 Mill. €",,Sunderland,2011,55500000
2,Forward,2122,"29,05 Mill. €","3,23 Mill. €",,Sunderland,2011,29050000
3,Total:,2450,"125,05 Mill. €","3,47 Mill. €",,Sunderland,2011,125050000
0,Goalkeeper,2550,"7,00 Mill. €","3,50 Mill. €",,Sunderland,2012,7000000
1,Defender,2521,"37,50 Mill. €","2,68 Mill. €",,Sunderland,2012,37500000
2,Forward,2292,"39,25 Mill. €","3,27 Mill. €",,Sunderland,2012,39250000
3,Total:,2427,"129,50 Mill. €","3,50 Mill. €",,Sunderland,2012,129500000
0,Goalkeeper,2340,"3,50 Mill. €",700 Th. €,,Sunderland,2013,3500000
1,Defender,2591,"24,70 Mill. €","2,25 Mill. €",,Sunderland,2013,24700000
2,Forward,2320,"69,00 Mill. €","6,90 Mill. €",,Sunderland,2013,69000000
3,Total:,2459,"151,25 Mill. €","3,88 Mill. €",,Sunderland,2013,151250000
0,Goalkeeper,2250,"5,75 Mill. €","1,44 Mill. €",,Sunderland,2014,5750000
1,Defender,2564,"17,95 Mill. €","1,63 Mill. €",,Sunderland,2014,17950000
2,Forward,2490,"46,55 Mill. €","4,66 Mill. €",,Sunderland,2014,46550000
3,Total:,2476,"115,25 Mill. €","3,39 Mill. €",,Sunderland,2014,115250000
0,Goalkeeper,2680,"8,50 Mill. €","1,70 Mill. €",,Sunderland,2015,8500000
1,Defender,2486,"22,00 Mill. €","1,57 Mill. €",,Sunderland,2015,22000000
2,Forward,2608,"57,25 Mill. €","4,40 Mill. €",,Sunderland,2015,57250000
3,Total:,2548,"128,25 Mill. €","3,05 Mill. €",,Sunderland,2015,128250000
0,Goalkeeper,2350,"5,00 Mill. €","1,25 Mill. €",,Sunderland,2016,5000000
1,Defender,2481,"40,00 Mill. €","2,50 Mill. €",,Sunderland,2016,40000000
2,Forward,2455,"37,50 Mill. €","3,41 Mill. €",,Sunderland,2016,37500000
3,Total:,2433,"112,50 Mill. €","2,68 Mill. €",,Sunderland,2016,112500000
0,Goalkeeper,2700,"3,75 Mill. €",938 Th. €,,Sunderland,2017,3750000
1,Defender,2460,"30,25 Mill. €","2,02 Mill. €",,Sunderland,2017,30250000
2,Forward,2444,"15,75 Mill. €","1,75 Mill. €",,Sunderland,2017,15750000
3,Total:,2371,"78,75 Mill. €","1,92 Mill. €",,Sunderland,2017,78750000
0,Goalkeeper,2767,"2,40 Mill. €",800 Th. €,,Sunderland,2018,2400000
1,Defender,2711,"18,85 Mill. €","2,09 Mill. €",,Sunderland,2018,18850000
2,Forward,2600,"5,70 Mill. €","1,43 Mill. €",,Sunderland,2018,5700000
3,Total:,2587,"40,55 Mill. €","1,76 Mill. €",,Sunderland,2018,40550000
0,Goalkeeper,2850,"5,18 Mill. €","1,29 Mill. €",,Arsenal,2005,5180000
1,Defender,2258,"61,95 Mill. €","5,16 Mill. €",,Arsenal,2005,61950000
2,Forward,2120,"88,75 Mill. €","8,88 Mill. €",,Arsenal,2005,88750000
3,Total:,2268,"218,95 Mill. €","5,92 Mill. €",,Arsenal,2005,218950000
0,Goalkeeper,2925,"7,80 Mill. €","1,95 Mill. €",,Arsenal,2006,7800000
1,Defender,2147,"46,85 Mill. €","3,12 Mill. €",,Arsenal,2006,46850000
2,Forward,2133,"77,25 Mill. €","12,88 Mill. €",,Arsenal,2006,77250000
3,Total:,2235,"221,40 Mill. €","5,98 Mill. €",,Arsenal,2006,221400000
0,Goalkeeper,2700,"12,15 Mill. €","3,04 Mill. €",,Arsenal,2007,12150000
1,Defender,2123,"72,75 Mill. €","5,60 Mill. €",,Arsenal,2007,72750000
2,Forward,2140,"42,45 Mill. €","8,49 Mill. €",,Arsenal,2007,42450000
3,Total:,2183,"214,03 Mill. €","6,12 Mill. €",,Arsenal,2007,214030000
0,Goalkeeper,2300,"9,10 Mill. €","2,28 Mill. €",,Arsenal,2008,9100000
1,Defender,2292,"79,05 Mill. €","6,59 Mill. €",,Arsenal,2008,79050000
2,Forward,2118,"92,50 Mill. €","8,41 Mill. €",,Arsenal,2008,92500000
3,Total:,2117,"252,35 Mill. €","6,15 Mill. €",,Arsenal,2008,252350000
0,Goalkeeper,2280,"11,90 Mill. €","2,38 Mill. €",,Arsenal,2009,11900000
1,Defender,2353,"81,20 Mill. €","5,41 Mill. €",,Arsenal,2009,81200000
2,Forward,2160,"102,50 Mill. €","10,25 Mill. €",,Arsenal,2009,102500000
3,Total:,2173,"281,00 Mill. €","6,24 Mill. €",,Arsenal,2009,281000000
0,Goalkeeper,2650,"13,48 Mill. €","2,25 Mill. €",,Arsenal,2010,13480000
1,Defender,2350,"75,00 Mill. €","7,50 Mill. €",,Arsenal,2010,75000000
2,Forward,2338,"110,30 Mill. €","13,79 Mill. €",,Arsenal,2010,110300000
3,Total:,2335,"304,38 Mill. €","8,95 Mill. €",,Arsenal,2010,304380000
0,Goalkeeper,2440,"10,00 Mill. €","2,00 Mill. €",,Arsenal,2011,10000000
1,Defender,2275,"75,10 Mill. €","6,26 Mill. €",,Arsenal,2011,75100000
2,Forward,2492,"149,50 Mill. €","11,50 Mill. €",,Arsenal,2011,149500000
3,Total:,2316,"312,93 Mill. €","6,95 Mill. €",,Arsenal,2011,312930000
0,Goalkeeper,2260,"17,25 Mill. €","3,45 Mill. €",,Arsenal,2012,17250000
1,Defender,2280,"89,00 Mill. €","5,93 Mill. €",,Arsenal,2012,89000000
2,Forward,2280,"85,50 Mill. €","8,55 Mill. €",,Arsenal,2012,85500000
3,Total:,2295,"293,75 Mill. €","6,99 Mill. €",,Arsenal,2012,293750000
0,Goalkeeper,2600,"23,50 Mill. €","7,83 Mill. €",,Arsenal,2013,23500000
1,Defender,2522,"91,30 Mill. €","10,14 Mill. €",,Arsenal,2013,91300000
2,Forward,2183,"76,90 Mill. €","6,41 Mill. €",,Arsenal,2013,76900000
3,Total:,2354,"341,20 Mill. €","8,32 Mill. €",,Arsenal,2013,341200000
0,Goalkeeper,2120,"20,30 Mill. €","4,06 Mill. €",,Arsenal,2014,20300000
1,Defender,2317,"80,40 Mill. €","6,70 Mill. €",,Arsenal,2014,80400000
2,Forward,2245,"129,65 Mill. €","11,79 Mill. €",,Arsenal,2014,129650000
3,Total:,2300,"404,35 Mill. €","9,63 Mill. €",,Arsenal,2014,404350000
0,Goalkeeper,2525,"20,00 Mill. €","5,00 Mill. €",,Arsenal,2015,20000000
1,Defender,2460,"109,00 Mill. €","10,90 Mill. €",,Arsenal,2015,109000000
2,Forward,2227,"125,00 Mill. €","11,36 Mill. €",,Arsenal,2015,125000000
3,Total:,2366,"408,60 Mill. €","9,97 Mill. €",,Arsenal,2015,408600000
0,Goalkeeper,2620,"34,00 Mill. €","6,80 Mill. €",,Arsenal,2016,34000000
1,Defender,2446,"143,25 Mill. €","11,02 Mill. €",,Arsenal,2016,143250000
2,Forward,2345,"143,50 Mill. €","13,05 Mill. €",,Arsenal,2016,143500000
3,Total:,2374,"522,75 Mill. €","12,45 Mill. €",,Arsenal,2016,522750000
0,Goalkeeper,2675,"14,50 Mill. €","3,63 Mill. €",,Arsenal,2017,14500000
1,Defender,2436,"147,60 Mill. €","10,54 Mill. €",,Arsenal,2017,147600000
2,Forward,2430,"238,00 Mill. €","23,80 Mill. €",,Arsenal,2017,238000000
3,Total:,2384,"633,90 Mill. €","14,09 Mill. €",,Arsenal,2017,633900000
0,Goalkeeper,2780,"29,50 Mill. €","5,90 Mill. €",,Arsenal,2018,29500000
1,Defender,2608,"162,00 Mill. €","13,50 Mill. €",,Arsenal,2018,162000000
2,Forward,2600,"176,70 Mill. €","25,24 Mill. €",,Arsenal,2018,176700000
3,Total:,2597,"582,70 Mill. €","18,21 Mill. €",,Arsenal,2018,582700000
0,Goalkeeper,3500,750 Th. €,250 Th. €,,Wigan,2005,750000
1,Defender,2700,"12,90 Mill. €","1,17 Mill. €",,Wigan,2005,12900000
2,Forward,2620,"9,80 Mill. €","1,96 Mill. €",,Wigan,2005,9800000
3,Total:,2739,"36,20 Mill. €","1,29 Mill. €",,Wigan,2005,36200000
0,Goalkeeper,3175,"4,70 Mill. €","1,18 Mill. €",,Wigan,2006,4700000
1,Defender,2650,"25,27 Mill. €","1,81 Mill. €",,Wigan,2006,25270000
2,Forward,2456,"18,70 Mill. €","2,08 Mill. €",,Wigan,2006,18700000
3,Total:,2614,"66,55 Mill. €","1,80 Mill. €",,Wigan,2006,66550000
0,Goalkeeper,2800,"4,10 Mill. €","1,03 Mill. €",,Wigan,2007,4100000
1,Defender,2508,"27,63 Mill. €","2,30 Mill. €",,Wigan,2007,27630000
2,Forward,2500,"23,80 Mill. €","2,98 Mill. €",,Wigan,2007,23800000
3,Total:,2577,"76,03 Mill. €","2,17 Mill. €",,Wigan,2007,76030000
0,Goalkeeper,3175,"5,40 Mill. €","1,35 Mill. €",,Wigan,2008,5400000
1,Defender,2650,"19,75 Mill. €","2,47 Mill. €",,Wigan,2008,19750000
2,Forward,2378,"30,50 Mill. €","3,39 Mill. €",,Wigan,2008,30500000
3,Total:,2549,"79,10 Mill. €","2,26 Mill. €",,Wigan,2008,79100000
0,Goalkeeper,2740,"7,20 Mill. €","1,44 Mill. €",,Wigan,2009,7200000
1,Defender,2720,"26,45 Mill. €","2,65 Mill. €",,Wigan,2009,26450000
2,Forward,2363,"21,40 Mill. €","2,68 Mill. €",,Wigan,2009,21400000
3,Total:,2522,"73,90 Mill. €","2,05 Mill. €",,Wigan,2009,73900000
0,Goalkeeper,2800,"6,50 Mill. €","1,63 Mill. €",,Wigan,2010,6500000
1,Defender,2442,"22,25 Mill. €","1,85 Mill. €",,Wigan,2010,22250000
2,Forward,2413,"26,60 Mill. €","3,33 Mill. €",,Wigan,2010,26600000
3,Total:,2403,"72,10 Mill. €","2,06 Mill. €",,Wigan,2010,72100000
0,Goalkeeper,2900,"6,30 Mill. €","1,58 Mill. €",,Wigan,2011,6300000
1,Defender,2640,"25,00 Mill. €","2,50 Mill. €",,Wigan,2011,25000000
2,Forward,2317,"14,70 Mill. €","2,45 Mill. €",,Wigan,2011,14700000
3,Total:,2523,"70,00 Mill. €","2,33 Mill. €",,Wigan,2011,70000000
0,Goalkeeper,2775,"7,50 Mill. €","1,88 Mill. €",,Wigan,2012,7500000
1,Defender,2579,"31,50 Mill. €","2,25 Mill. €",,Wigan,2012,31500000
2,Forward,2278,"16,40 Mill. €","1,82 Mill. €",,Wigan,2012,16400000
3,Total:,2478,"81,50 Mill. €","2,20 Mill. €",,Wigan,2012,81500000
0,Goalkeeper,2975,"9,70 Mill. €","2,43 Mill. €",,Wigan,2013,9700000
1,Defender,2636,"26,50 Mill. €","1,89 Mill. €",,Wigan,2013,26500000
2,Forward,2488,"16,50 Mill. €","2,06 Mill. €",,Wigan,2013,16500000
3,Total:,2527,"91,20 Mill. €","2,22 Mill. €",,Wigan,2013,91200000
0,Goalkeeper,2700,"4,80 Mill. €","1,60 Mill. €",,Wigan,2014,4800000
1,Defender,2688,"24,90 Mill. €","1,56 Mill. €",,Wigan,2014,24900000
2,Forward,2350,"18,70 Mill. €","1,17 Mill. €",,Wigan,2014,18700000
3,Total:,2506,"68,95 Mill. €","1,38 Mill. €",,Wigan,2014,68950000
0,Goalkeeper,2675,900 Th. €,225 Th. €,,Wigan,2015,900000
1,Defender,2406,"5,85 Mill. €",366 Th. €,,Wigan,2015,5850000
2,Forward,2357,"4,70 Mill. €",336 Th. €,,Wigan,2015,4700000
3,Total:,2404,"17,20 Mill. €",374 Th. €,,Wigan,2015,17200000
0,Goalkeeper,2614,"3,50 Mill. €",500 Th. €,,Wigan,2016,3500000
1,Defender,2419,"9,75 Mill. €",609 Th. €,,Wigan,2016,9750000
2,Forward,2320,"7,35 Mill. €",490 Th. €,,Wigan,2016,7350000
3,Total:,2354,"29,03 Mill. €",509 Th. €,,Wigan,2016,29030000
0,Goalkeeper,2057,350 Th. €,50 Th. €,,Wigan,2017,350000
1,Defender,2165,"4,05 Mill. €",238 Th. €,,Wigan,2017,4050000
2,Forward,2343,"6,73 Mill. €",480 Th. €,,Wigan,2017,6730000
3,Total:,2121,"15,85 Mill. €",278 Th. €,,Wigan,2017,15850000
0,Goalkeeper,2350,400 Th. €,100 Th. €,,Wigan,2018,400000
1,Defender,2580,"1,95 Mill. €",390 Th. €,,Wigan,2018,1950000
2,Forward,2591,"7,00 Mill. €",636 Th. €,,Wigan,2018,7000000
3,Total:,2452,"12,68 Mill. €",437 Th. €,,Wigan,2018,12680000
0,Goalkeeper,2650,"4,50 Mill. €","1,13 Mill. €",,Charlton,2005,4500000
1,Defender,2442,"19,10 Mill. €","1,59 Mill. €",,Charlton,2005,19100000
2,Forward,2371,"30,03 Mill. €","2,14 Mill. €",,Charlton,2005,30030000
3,Total:,2500,"74,98 Mill. €","2,08 Mill. €",,Charlton,2005,74980000
0,Goalkeeper,2300,"4,58 Mill. €",915 Th. €,,Charlton,2006,4580000
1,Defender,2575,"25,65 Mill. €","2,14 Mill. €",,Charlton,2006,25650000
2,Forward,2422,"23,28 Mill. €","2,59 Mill. €",,Charlton,2006,23280000
3,Total:,2470,"77,15 Mill. €","2,09 Mill. €",,Charlton,2006,77150000
0,Goalkeeper,2300,"2,23 Mill. €",742 Th. €,,Charlton,2007,2230000
1,Defender,2538,"8,90 Mill. €",685 Th. €,,Charlton,2007,8900000
2,Forward,2467,"11,33 Mill. €",944 Th. €,,Charlton,2007,11330000
3,Total:,2400,"37,65 Mill. €",941 Th. €,,Charlton,2007,37650000
0,Goalkeeper,2400,"2,23 Mill. €",742 Th. €,,Charlton,2008,2230000
1,Defender,2438,"9,03 Mill. €",694 Th. €,,Charlton,2008,9030000
2,Forward,2407,"14,00 Mill. €","1,00 Mill. €",,Charlton,2008,14000000
3,Total:,2405,"38,68 Mill. €",899 Th. €,,Charlton,2008,38680000
0,Goalkeeper,2400,"1,30 Mill. €",260 Th. €,,Charlton,2009,1300000
1,Defender,2279,"5,65 Mill. €",404 Th. €,,Charlton,2009,5650000
2,Forward,2608,"8,35 Mill. €",642 Th. €,,Charlton,2009,8350000
3,Total:,2376,"18,58 Mill. €",442 Th. €,,Charlton,2009,18580000
0,Goalkeeper,2014,575 Th. €,82 Th. €,,Charlton,2010,575000
1,Defender,2523,"6,45 Mill. €",496 Th. €,,Charlton,2010,6450000
2,Forward,2300,"4,13 Mill. €",413 Th. €,,Charlton,2010,4130000
3,Total:,2281,"15,95 Mill. €",380 Th. €,,Charlton,2010,15950000
0,Goalkeeper,2140,400 Th. €,80 Th. €,,Charlton,2011,400000
1,Defender,2380,"3,15 Mill. €",315 Th. €,,Charlton,2011,3150000
2,Forward,2485,"6,90 Mill. €",531 Th. €,,Charlton,2011,6900000
3,Total:,2385,"15,25 Mill. €",372 Th. €,,Charlton,2011,15250000
0,Goalkeeper,2275,325 Th. €,81 Th. €,,Charlton,2012,325000
1,Defender,2257,"2,60 Mill. €",186 Th. €,,Charlton,2012,2600000
2,Forward,2429,"6,08 Mill. €",434 Th. €,,Charlton,2012,6080000
3,Total:,2365,"14,13 Mill. €",307 Th. €,,Charlton,2012,14130000
0,Goalkeeper,2280,"2,75 Mill. €",550 Th. €,,Charlton,2013,2750000
1,Defender,2373,"3,90 Mill. €",355 Th. €,,Charlton,2013,3900000
2,Forward,2300,"7,20 Mill. €",554 Th. €,,Charlton,2013,7200000
3,Total:,2375,"17,45 Mill. €",436 Th. €,,Charlton,2013,17450000
0,Goalkeeper,2167,"1,70 Mill. €",283 Th. €,,Charlton,2014,1700000
1,Defender,2324,"6,90 Mill. €",406 Th. €,,Charlton,2014,6900000
2,Forward,2145,"11,85 Mill. €","1,08 Mill. €",,Charlton,2014,11850000
3,Total:,2284,"31,70 Mill. €",704 Th. €,,Charlton,2014,31700000
0,Goalkeeper,2200,"1,10 Mill. €",275 Th. €,,Charlton,2015,1100000
1,Defender,2363,"12,80 Mill. €",800 Th. €,,Charlton,2015,12800000
2,Forward,2160,"14,00 Mill. €",933 Th. €,,Charlton,2015,14000000
3,Total:,2300,"32,45 Mill. €",755 Th. €,,Charlton,2015,32450000
0,Goalkeeper,2075,"2,00 Mill. €",500 Th. €,,Charlton,2016,2000000
1,Defender,2279,"8,15 Mill. €",429 Th. €,,Charlton,2016,8150000
2,Forward,2177,"4,50 Mill. €",346 Th. €,,Charlton,2016,4500000
3,Total:,2261,"18,30 Mill. €",416 Th. €,,Charlton,2016,18300000
0,Goalkeeper,2233,800 Th. €,267 Th. €,,Charlton,2017,800000
1,Defender,2175,"3,60 Mill. €",300 Th. €,,Charlton,2017,3600000
2,Forward,2350,"4,65 Mill. €",291 Th. €,,Charlton,2017,4650000
3,Total:,2255,"12,40 Mill. €",282 Th. €,,Charlton,2017,12400000
0,Goalkeeper,2300,50 Th. €,50 Th. €,,Charlton,2018,50000
1,Defender,2483,"2,35 Mill. €",392 Th. €,,Charlton,2018,2350000
2,Forward,2571,"2,55 Mill. €",364 Th. €,,Charlton,2018,2550000
3,Total:,2545,"7,45 Mill. €",373 Th. €,,Charlton,2018,7450000
0,Goalkeeper,2933,"3,30 Mill. €","1,10 Mill. €",,Birmingham,2005,3300000
1,Defender,2458,"23,80 Mill. €","1,98 Mill. €",,Birmingham,2005,23800000
2,Forward,2600,"42,15 Mill. €","5,27 Mill. €",,Birmingham,2005,42150000
3,Total:,2555,"95,38 Mill. €","2,89 Mill. €",,Birmingham,2005,95380000
0,Goalkeeper,2467,"2,08 Mill. €",692 Th. €,,Birmingham,2006,2080000
1,Defender,2556,"13,93 Mill. €","1,55 Mill. €",,Birmingham,2006,13930000
2,Forward,2322,"17,70 Mill. €","1,97 Mill. €",,Birmingham,2006,17700000
3,Total:,2388,"45,40 Mill. €","1,42 Mill. €",,Birmingham,2006,45400000
0,Goalkeeper,2650,"3,25 Mill. €",813 Th. €,,Birmingham,2007,3250000
1,Defender,2391,"23,75 Mill. €","2,16 Mill. €",,Birmingham,2007,23750000
2,Forward,2256,"26,85 Mill. €","2,98 Mill. €",,Birmingham,2007,26850000
3,Total:,2367,"73,20 Mill. €","2,22 Mill. €",,Birmingham,2007,73200000
0,Goalkeeper,2325,"3,55 Mill. €",888 Th. €,,Birmingham,2008,3550000
1,Defender,2675,"25,00 Mill. €","2,08 Mill. €",,Birmingham,2008,25000000
